title,code,song_by,status
As Long As I Live,17791,Neil Sedaka,New
As You Inhale,17587,"Blue Boy Bites
Back",New
Astronaut,17792,Simple Plan,New
At Last,17885,Beyonce,New
At Last,17984,Etta James,New
At or With Me,17396,Jack Johnson,New
Atin Ang Mundo,17278,The Juans,New
Atomica,17144,Wolfgang,New
Awake My Soul,17397,Mumford & Sons,New
Awanen Serbina,17398,Lea Dansalan,New
Away From You,18038,Jaya,New
Awiting Pilipino,18261,Mike Hanopol,New
Ayang-Ayang,17692,Boston,New
Ayoko Na Sa'yo,17168,Vice Ganda,New
Ayoko Sa Dilim,17671,FrancisM,New
Babaeng Sorbetes,17794,Orient Pearl,New
Babalik,17568,James Reid,New
Babalik Ka Pa Kaya,17693,Wiseguys,New
Babalik Sa Iyo,17331,Sampaguita,New
Baby Be Mine,17346,"Michael
Jackson",New
Baby Come Home To Me,17169,Patti Austin and James Ingram,New
Baby I,17167,Arianna Grande,New
Baby I Lied,17897,Deborah Allen,New
"Baby, I Do",17262,Juris,New
Back For You,17205,One Direction,New
Back To Back,17309,Drake,New
Back To Good,17201,Matchbox 20,New
Back To Sleep,18226,Chris Brown,New
Back To The Future,17705,Dru Hill,New
Back Together,17694,Robin Thicke (ft Nicki Minaj),New
Back Up,17243,DeJ Loaf ft Big Sean,New
Backroad Song,17528,Granger Smith,New
Bad Love,17710,Tom Jones,New
Bagong Umaga,18249,Bayang Barrios,New
Bahala Na,18086,Neo Colours,New
Bakit,17986,Rockstar 2,New
Bakit Ba,17985,Ella Mae Saison,New
Bakit Ba Ganyan,17795,Nyoy Volante,New
Bakit Ba Mahal Kita,17166,Angeline Quinto,New
Bakit May Paalam,17399,Six Part Invention,New
Bakit May Pag-ibig Pa,17170,Bing Rodrigo,New
Balang Araw,18114,Myrus Ramirez,New
Balik Na Pinangga,17588,Visayan Song,New
Baliw Na Pag-ibig,17796,Sam Milby,New
Ballerina Girl,17198,Lionel Richie,New
Banana Pancakes,18272,Jack Johnson,New
Bang Bang Bang,17494,Selena Gomez,New
Banjo,17797,Rascal Flatts,New
Barkada,17798,"Parokya Ni
Edgar",New
Barracuda,18188,Heart,New
Baso Ni Maria,17799,Aleck Bovick,New
Basol Ko Kadi,17347,Baby Icuspit,New
Be Alright,17234,Justin Bieber,New
Be Near Me,17589,ABC,New
Be Real,17114,Kid Ink ft Dej Loaf,New
Be The First To Believe,17800,A1,New
Be With You,17139,Aicelle Santos,New
Be Your Everything,17801,Boys Like Girls,New
Beautiful,17235,"Carly Rae
Jepsen ft Justin",New
Beautiful Disaster,17943,311,New
Beautiful Now,17145,"Zedd ft. Jon
Bellion",New
Been It,17495,The Cardigans,New
BeFoUr,17745,Zayn Malik,New
Beginnings,17299,Chicago,New
Belle Of The Boulevard,17590,Dashboard Confessional,New
Bennie And The Jets,17802,Elton John,New
Best Days,17803,Juice,New
Best Love Song,17172,T-Pain ft Chris Brown,New
Best Of Me,17804,Daniel Powter,New
Bet Mo Ba,17654,Kelly Welt,New
Bet You Can't Do It Like Me,17289,Dlow,New
Better,17295,Boyzone,New
Better,18232,Meghan Trainor ft Yo Gotti,New
Better Me,17496,Keyshia Cole,New
Better Off Now (That You're…),17173,Lady Antebellum,New
Better Together,17400,Jack Johnson,New
Better When I'm Dancing,17321,MeghanTrainor,New
Better World,17884,Smokey Mountain,New
Between The Lines,17348,"Chris Brown ft
Kevin McCall",New
"Bewitched, Bothered and
Bewildered",17881,Doris Day,New
Bibitawan Ka,17748,Juris,New
Bicycle Race,18198,Queen,New
Big Machine,17401,Goo Goo Dolls,New
Bigger,17402,Justine Bieber,New
Biggest Part Of Me,17344,Ambrosia,New
Bihag,17805,Bryan Termulo,New
Binibining Pilipina,17806,Ogie Alcasid,New
Bittersweet,17403,Fantasia ft. DjLeak,New
Black And Yellow,17404,Wiz Khalifa,New
Black Balloon,17591,Goo Goo Dolls,New
Black Coffee,17592,All Saints,New
Blame It On The Rain,17695,Milli Vanilli,New
Bless The Broken Road,18087,Rascal Flatts,New
Blind,17261,Jason Derulo,New
Blood Hands,18076,Royal Blood,New
Blues In The Night,17987,Chicago,New
Body Bumpin' (Yippie Ya Yo),18018,Public Announcement,New
Body Rock,18088,Maria Vidal,New
Body Say,18049,Demi Lovato,New
Bolang Kristal,17687,Abra ft KZ Tandingan,New
Bolinaw,17405,Mantequilla,New
Boogie Nights,18089,Heatwave,New
Boom,17374,Simple Plan,New
Booty,17236,Jennifer Lopez ft Iggy Azalea,New
Booty Call,17164,All Saints,New
Born To Die,17349,Lana del Rey,New
Boss,17593,Fifth Harmony,New
Both In Love,18118,Tito Mina,New
Bottoms Up,17350,Trey Songz ft Nicki Minaj,New
Bound For The Floor,17773,Local H,New
Bound To You,17302,"Christina
Aguilera",New
Boyfriend,17351,Ashlee Simpson,New
Boys,17594,"Britney Spear ft
Pharell Williams",New
Boys Like You,17478,Who Is Fancy ft Meghan,New
Brain Stew / Jaded,17967,Green Day,New
Brand New Me,17406,Alicia Keys,New
Brandy (You're A Fine Girl),17807,Looking Glass,New
"Break On Through
(The Other Side)",17176,The Doors,New
Break Up With Him,17612,Old Dominion,New
Breakfast At Tiffanys,17307,Deep Blue Something,New
Breathing,17595,Lifehouse,New
Brick,17407,Ben Folds Five,New
Brielle,17352,Sky Sailing,New
Buak,17409,Indephums,New
Buddy Holly,17879,Weezer,New
Bug A Boo,17358,Destinys Child,New
Build A Girl,17410,Darren Espanto,New
Building A Mystery,17596,"Sarah
Mclachlan",New
Bulag,17267,Mitoy,New
Bullet,17808,Katy Perry,New
Bump Bump Bump,17909,P. Diddy ft B2K,New
Bumuhos Man Ang Ulan,17411,Jericho Rosales,New
Buong Gabi,17238,"Maja Salvador ft
Project Pinas",New
Burning House,17471,Cam,New
Bury It,18152,"Chvrches ft
Hayley Williams",New
But If You Leave Me,18120,Junior,New
Buta,17412,Ruth Vergara,New
Butterfly Wings,17597,Owl City,New
Bwelo Lang,18073,Edray Teodoro ft Juan Carlos,New
Byaheng Bohol,17598,Brownbuds,New
Bye Bye,18039,Jo Dee Messina,New
Cake By The Ocean,17918,DNCE,New
Call You Out,17751,Flyleaf,New
Called Out In The Dark,17809,Snow Patrol,New
Can I Change My Mind,17988,Tyrone Davis,New
Candy Bling,17413,Mariah Carey,New
Cannonball (Acoustic),17599,Damien Rice,New
Can't Feel My Face,17102,The Weeknd,New
"Can't Get Enough
Of Your Love, Babe",18191,Barry White,New
Can't Let Go,17414,Adele,New
Can't Sleep Love,18034,Pentatonix,New
Can't Stop Dancin',18192,Becky G,New
Can't Stop The Feeling,17927,"Justin
Timberlake",New
Carino Brutal,17989,Slapshock,New
Carinosa,17603,Pilita Corales,New
Carry You Home,17156,Zara Larsson,New
Cat And Mouse,18193,The Red Jumpsuit,New
Catching Feelings,17810,Justin Bieber,New
Caught In The Middle,17298,A1,New
Cause I Said So,17415,Ne-Yo,New
Chains,17179,Nick Jonas,New
Champagne Life,17416,Ne-Yo,New
Chasing Stars,17775,Lunar Lights,New
Cheap Thrill,17970,Pupil,New
Cheap Thrills,18133,Sia,New
Cheater,17337,The Vamps,New
Cheyenne,17116,Jason Derulo,New
Childhood,17990,"Michael
Jackson",New
Chinito Problems,17247,Enchong Dee,New
Chivalry Is Dead,17616,Trevor Wesley,New
Choke,17300,Red Jumpsuit Apparatus,New
Christmas Past,17239,Jose Mari Chan,New
Circle The Drain,17600,Katy Perry,New
Classic Man,17103,Jidenna ft. Roman,New
Clean,17962,Taylor Swift,New
Clint Eastwood,17672,The Gorillaz,New
Close,17931,"Nick Jonas ft.
Tove Lo",New
Close To You,17764,Whigfield,New
Close Your Eyes,17812,Westlife,New
Closer,18137,"The
Chainsmokers ft",New
Coco Jamboo,17323,Mr. President,New
Coconut Tree,17202,"Mohombi ft
Nicole",New
Coda,17975,Sponge Cola,New
Cold As You,17664,Taylor Swift,New
Cold Water,18132,"Major Lazer ft
Justin Bieber",New
Colors,17746,Halsey,New
Come Around,17418,Rhett Miller,New
Come Baby Come,17419,K7,New
Come Back Song,17601,Darius Rucker,New
Come Home,18147,One Republic,New
Come On Little Angel,17813,Belmonts,New
Come Out And Play,17477,The Offspring,New
Come Sail Away,17814,Styx,New
Comfortable,17371,K Camp,New
Common Denominator,17815,Justin Bieber,New
Company,17735,Justin Bieber,New
Confident,17308,Demi Lovato,New
Confidential,18090,Sonny Knight,New
Connected,17602,Sara Paxton,New
Conspiracy,17304,Paramore,New
Controlla,18025,Drake,New
Cool Down,17991,Kolohe Kai,New
Could I Have This Dance,17305,Anne Murray,New
Could It Be I'm Falling In Love,17175,Boyz II Men,New
Couldn't Get It Right,18214,"Climax Blues
Band",New
Could've Been,17355,Sarah Geronimo,New
Countdown,17604,Beyonce,New
Counting Down The Days,17816,Natalie Imbruglia,New
Country Grammar,17420,Nelly,New
Crash Into Me,17421,Dave Matthews,New
Crazier,17613,Taylor Swift,New
Crazy Eyes For You,17856,Jimmy Wilde,New
Crazy Tonite,17500,Sampaguita,New
Creepin',17306,Eric Church,New
Cruel Summer,17294,Bananarama,New
Cruising For Bruising,17240,Basia,New
Daddy,17327,"PSY ft CL of
2NE1",New
Dahan-Dahan,17356,Brownman Revival,New
Dahil Minamahal Kita,17817,Imelda Papin,New
Dahil Sa 'Yo,17916,Andrew E.,New
Dakilang Lahi,18091,Ciara Sotto,New
Dalawang Letra,17642,Itchyworms,New
Damaged,17218,TLC,New
Damdaming Nakabitin,17992,Asin,New
Dami Mong Alam,18058,Skusta Clee ft Flip D,New
Dammit,18069,Blink 182,New
Dance,18092,Garth Brooks,New
Dance Dance,17501,Fall Out Boy,New
Dance In The Dark,17993,Lady Gaga,New
Dance The Night Away,17241,Van Halen,New
Dancer,17260,Iyaz,New
Dancing In The Moonlight,17818,Toploader,New
Dancing On My Own,17919,Calum Scott,New
Dangerous,17534,"Jensen & The
Flips",New
Dangerous Woman,17726,Ariana Grande,New
Dapat Tama,17605,Gloc 9 ft Denise Barbacena,New
Dare You To Move,17819,Switchfoot,New
Dasal,17697,Ric Segreto,New
Day And Night,17994,Billie Piper,New
Daydreamin',17734,Jessie J,New
Dear Biyenan,17727,Breezy Boyz And Abaddon,New
Dear No One,17606,Tori Kelly,New
Dear You,17357,Juris,New
Death Of A Bachelor,17853,"Panic At The
Disco",New
Deathstar Diorama,17503,April Morning Skies,New
Deep Inside Of You,17607,Third Eye Blind,New
Deeper,17995,Julie Ann San Jose,New
Design For Life,17945,Manic Street Preachers,New
Desire,17504,"Gene Loves
Jezebel",New
Dessert,17101,Dawin,New
Devil In A New Dress,17608,Kanye West,New
Di Ka Man Lang Nagpaalam,18195,Juan Karlos Labajo,New
Di Kayang Pilitin,17609,Klarisse De Guzman,New
Di Kita 'Pagpapalit,18115,Rockstar 2,New
Di Ko Alam,17698,Yassi & Andre,New
Di Ko Magawang Limutin Ka,18135,Paul Sapiera,New
Di Na Kita Mahal,17189,Hazel Faith ft. Michael,New
Di Na Kita Mahal,17863,Silent Sanctuary,New
Diagnosed With Love,17359,Chris Brown,New
Diak Gamden Ti Agayat,17423,Melo Santiago,New
Diamante,17761,Morissette,New
Diamonds Are Forever,17332,Shirley Bassey,New
Dibs,18067,Kelsea Ballerini,New
Did You Get My Message,17505,Jason Mraz,New
Die A Happy Man,17899,Thomas Rhett,New
Different Seasons,17506,"Johnny Hates
Jazz",New
Digital Dash,18154,Drake & Future,New
Disaster,17699,Jojo,New
Diskarte,17244,Daniel Padilla,New
Dita Dennam Awan Nagbasolak,17182,Ilocano song,New
Ditanto Agsina,17700,Ilocano Song,New
Dito,17424,Pops Fernandez,New
Dito Ka Lang Sa Puso Ko,17866,Wynn Andrada,New
Dito Sa Puso Ko,17701,"Josh Santana &
Nikki Gil",New
Do It Again,17207,Pia Mia ft Chris Brown,New
Do It Like I Dude,17996,Jessie J.,New
Do The Walls Come Down,17702,Carly Simon,New
Do You Love Me,18094,The Contours,New
Doesn't Really Matter,17610,Janet Jackson,New
Dog Days Are Over,17425,Florence And The Machine,New
Done,17997,The Band Perry,New
Don't Be So Hard On Yourself,17507,Jess Glyne,New
Don't Cry,17923,Ken Laszlo,New
Don't Gamble With Love,17360,Paul Anka,New
Don't Judge Me,17417,Chris Brown,New
Don't Know Why,17703,Norah Jones,New
Don't Let Me Down,17933,The Chainsmokers,New
Don't Mind,18238,Kent Jones,New
Don't Say Goodnight,17129,Jim Photoglo,New
Don't Stop Looking For Love,18095,Boyzone,New
Don't Wait,17426,"Dashboard
Confessional",New
Don't Wanna Let You Go,17888,Five,New
Down,17427,"Jason Walker ft
Molly Reed",New
Down On Me,17361,Jeremih ft 50 Cent,New
Downtown,17199,Macklemore & Ryan Lewis,New
Drag Me Down,17142,One Direction,New
Dream Girl,17820,R.Kelly,New
Drink On It,17821,Blake Shelton,New
Drinking For 11,17900,Mad Caddies,New
Drive You Crazy,17704,Pitbull ft Jason Derulo and,New
Drunk On Your Love,17529,Brett Eldredge,New
Dulo,17559,Sarah Geronimo,New
Duyog (Acoustic),17998,Jewel Villaflores,New
Earth Angel,17508,The Penguins,New
Easy Love,17509,Sigala,New
Echo,17999,Vertical Horizon,New
Edge Of The World,17119,Josh Padilla and Yassi,New
Ego,17611,Beyonce,New
Electric Avenue,17429,Eddy Grant,New
Electric Blue,17858,Nicole Scherzinger ft.,New
Eman,18277,"Parokya Ni
Edgar",New
Empty Space,17771,The Story So Far,New
End Of The Dream,18081,Evanescence,New
Endless Sleep,17822,Jody Reynolds,New
Endless Summer Nights,17706,Richard Marx,New
Erase And Rewind,17363,The Cardigans,New
Erase Me,17364,Kid Cudi,New
Eternal Love,17617,Stephanie Mills,New
Ever The Same,17313,Rob Thomas,New
Every Other Time,17365,LFO,New
Everybody Get Up,17431,Five,New
Everybody Knows,17317,John Legend,New
Everyday Is A Winding Road,17432,Sheryl Crow,New
Everything At Once,18126,Lenka,New
Everytime,17618,Janet Jackson,New
Evidence,17619,Urbandub,New
Exchange,17408,Bryson Tiller,New
Explode,17747,Patrick Stump,New
Exploration No. 5,17971,Reese Lansangan,New
Express Yourself,17264,Madonna,New
Ex's & Oh's,17338,Elle King,New
Extraordinary,17433,Mandy Moore,New
Eyes Shut,17578,"Years And
Years",New
Eyes Wide Open,17827,Gotye,New
Face In The Woods,17515,Urbandub,New
Fa-Fa-Fa-Fa-Fa (SadSong),17434,Otis Redding,New
Fall Apart,17828,Every Avenue,New
Fall Down,17251,"Will.i.am ft Miley
Cyrus",New
Fall For Your Type,17183,Drake,New
Fallin' Out,17197,Keyshia Cole,New
Falling In Love Again,17435,Eagle Eye Cherry,New
"Falling In Love With
You Tonight",18197,Norman Saleet,New
Falling Stars,18203,David Archuleta,New
Falls Apart,17366,Sugar Ray,New
Far From Home,17436,"Five Finger
Death Punch",New
Farewell,17829,Rihanna,New
Farewell To You,17620,White Lion,New
Feelings,17124,"Up Dharma
Down",New
Feels Like Home,18005,Chantal Kreviazuk,New
Felt Good On My Lips,17781,Tim McGraw,New
Felt So Right,18006,Sarah Geronimo,New
Ferris Wheel,17532,Yeng Constantino,New
Fight Song,17328,Rachel Platten,New
Finally,17437,Cece Peniston,New
Finally Found,18242,Honeyz,New
Fine By Me,17830,Andy Grammer,New
Finna Get Loose,17749,"Puff Daddy and
The Family (ft",New
Fire on the Water,17438,Chris De Burgh,New
Firefly,17831,Kitchie Nadal,New
First Cut is the Deepest,17439,Rod Stewart,New
First Dance,17440,Justin Bieber ft Usher,New
"First Love Never Dies
(Piano Version)",17622,Boyfriends,New
Five Ever,17973,Mayonnaise,New
Flaws,17832,Bastille,New
Flex,17104,"Rich Homie
Quan",New
Flight,17713,Lifehouse,New
Fly,17624,"Sugar Ray ft
Supercat",New
Fly Away,17833,Blaze N Kane ft Pow Chavez,New
Fly Over States,17834,Jason Aldean,New
Focus,17283,Ariana Grande,New
Follow You Down,18007,Gin Blossoms,New
Follow Your Road,17367,Pauline Wilson,New
Fool In Love,17625,Jim Photoglo,New
Foolin' Around,17220,Usher,New
For Everything I Am,17626,"Christian
Bautista",New
For Once In My Life,17627,Vonda Shepard,New
For The First Time,17194,John Legend,New
For You,18259,John Denver,New
Forever,17628,Vertical Horizon,New
Forevermore,17835,After Image,New
Forget Domani,17836,Frank Sinatra,New
Forgive Forget,17868,Caligola,New
Fortune Teller,17253,Maroon 5,New
Found Out About You,17314,Gin Blossoms,New
Free Fall Into Love,17906,Marion Aunor,New
Freeze,17441,T-Pain ft Chris Brown,New
Friday Night,17837,Eric Paslay,New
Friends And Lovers,17520,Gloria Loring And Carl,New
Friends In Low Places,17838,Garth Brooks,New
Fruitcake,17255,Eraserheads,New
Funky Love,17256,Kavana,New
Ganyan Talaga,17276,"Janella
Salvador",New
Gawing Langit Ang Mundo,17442,Siakol,New
Get Down Tonight,17643,"KC & The
Sunshine Band",New
Get Her Back,18102,Robin Ticke,New
Get Me Right,17714,Dashboard Confessional,New
Get Me Some Of That,17715,Thomas Rhett,New
Get Ugly,17452,Jason Derulo,New
Getting To Know Each Other,17443,Ariel Rivera,New
Ghost in The Machine,17629,B.o.B,New
Ghost Of A Good Thing,18008,Dashboard Confessional,New
Giliw,17257,Martin Nievera,New
Ginza,17316,J Balvin,New
Girl Im Gonna Miss You,17322,Milli Vanilli,New
Girl Who Got Away(Acoustic),17840,Dido,New
Girlfriend,18065,Kamikazee,New
Girls Talk Boys,18275,"5 Seconds of
Summer",New
Girlz,17772,L2M,New
"Gising Na, O Kuya Ko",17716,Coritha,New
Give A Little Love,18189,Bay City Rollers,New
Give A Little More,17841,Maroon 5,New
Give In To Me,17682,"Michael
Jackson",New
Give Me A Reason,17717,The Corrs,New
Glamorous,17630,"Fergie ft
Ludacris",New
Glass,18241,Gavin Degraw,New
Glitter In The Air,17444,Pink,New
Glory,17842,"Common Ft.
John Legend",New
Go Deep,17631,Janet Jackson,New
God Bless The Child,17843,Shania Twain,New
God Is A DJ,17208,PINK,New
"God, Country And My Baby",17445,Johnny Burnette,New
Going Out Of My Head,17718,"Luther
Vandross",New
Going Out Of My Head,18056,Sergio Mendes And Brasil '66,New
Gold Digger,17368,"Kanye West ft
Jamie Foxx",New
Gone,18009,Urbandub,New
Gonna,17296,Blake Shelton,New
Gonna Know We Were Here,17554,Jason Aldean,New
Good Friend,18016,Mary MacGregor,New
"Good Riddance
(Time Of Your Life)",17968,Greenday,New
Good Times,18205,Chic,New
Good To Be Alive,17521,Meghan Trainor,New
Good To Be Alive (Hallelujah),17488,Andy Grammer,New
Goodbye,17447,Juana,New
Goodbye's (The Saddest Word),17446,Celine Dion,New
Got To Let You Know,18117,Tito Mina,New
Gotten,17859,"Adam Levine ft.
Slash",New
Gravity,17898,Sara Bareilles,New
Great Is Thy Faithfulness,17310,Jordan Smith,New
Growing Up (Sloane's Song),18071,"Macklemore
And Ryan Lewis",New
Guardian,17844,Alanis Morissette,New
Gugma Ngano Man,17719,Baby Liugan,New
Guillotine,18078,Urbandub,New
Gupit,17449,Toto Sorioso,New
Gusto Kita,17676,Bailey May,New
Habang Ikaw Ay Narito,17265,Martin Nievera,New
Had Enough,17632,"Lifehouse ft
Daughtry",New
HaHaHaHasula,17569,Kurt Fick,New
Haharanahin Kita,17450,Mikey Bustos & David DiMuzio,New
Hain Ang Utlanan,17633,Willy Garte,New
Hair,17857,Little Mix ft Sean Paul,New
Halfway Around The World,17634,A-teens,New
Handa Na Ako,18010,Eurika,New
Hands,17635,The Ting Tings,New
Hands Clean,17636,"Alanis
Morissette",New
Hands Down (Acoustic Version),17522,Dashboard Confessionals,New
Hands To Myself,17765,Selena Gomez,New
Hanep,17279,Rouge Band,New
Hanggang Sa Kailanman,18206,Jeremiah,New
Hanggang Wala Nang Bukas,17153,Ebe Dancel,New
Hangin' Tough,17523,NKOTB,New
Happy,17845,Square Heads,New
Hatid Sundo,17721,Gimme 5,New
Have You Ever Been In Love,17722,Celine Dion,New
Heart By Heart,17315,Demi Lovato,New
Heart Of Glass,17959,Jonalyn Viray,New
Heartbreak Lullaby(Slow Version),17369,A Teens,New
Heathens,18051,Twenty One Pilots,New
Heaven,17259,"Psychedelic
Furs",New
Heaven,17894,Beyonce,New
Heaven In Your Eyes,17723,Loverboy,New
Heaven Is A Place On Earth,17171,Belinda Carlisle,New
Hello,17228,Adele,New
Hello,18150,Beyonce,New
Hello Friday,17623,Flo Rida ft Jason Derulo,New
Hello Hello Hello,17474,Tanya Markova,New
Hello Love,17533,"Florence
Warner",New
Here,17551,Alessia Cara,New
Here Is Gone,17190,Goo Goo Dolls,New
"Here, There And Everywhere",18110,Cat Stevens,New
Hey Everybody,17248,5 Seconds Of Summer,New
Hey Jealousy,18207,Gin Blossoms,New
Hide Away,17242,Daya,New
Hiding My Heart Away,18068,Adele,New
High Energy,18208,Evelyn Thomas,New
Highway To Hell,18271,ACDC,New
Hiling,18211,143,New
Himig,17861,Fredie Aguilar,New
Himig Ng Pag-Ibig,17112,Asin,New
Hiram Na Buhay,18252,No Bail Band,New
History,17454,One Direction,New
Hit The Quan,17221,iHeart Memphis,New
Hold Me,17963,Whitney Houston &,New
Hold My Hand,17733,Jess Glynne,New
Holiday,18227,Green Day,New
Hollow,17380,Tori Kelly,New
Home,17325,One Direction,New
Home,17637,Michael Buble,New
Honey,18103,Tito Mina,New
"Honey, I'm Good",17232,Andy Grammer,New
Hopeless Romantic,17957,Daryl Ong,New
Hotline Bling,17184,Drake,New
House Party,17465,Sam Hunt,New
How Deep Is Your Love,17552,"Calvin harris
and Disciples",New
How You Gonna See Me Now,17120,Alice Cooper,New
How You Remind Me,18011,Nickelback,New
Hoy,17929,Gloc 9,New
Hula Hoop,17524,OMI,New
Hymn For The Weekend,17696,Coldplay,New
I Believe,17638,Darren Espanto,New
I Believe In Love,18240,Dixie Chicks,New
I Can't Afford That Feeling Anymore,18012,Rita Coolidge,New
I Can't Lie,17639,Maroon 5,New
"I Didn't Know I Was
Looking For Love",18104,EBTG,New
"I Do, I Do",18055,Regina Grace,New
I Don't Like It I Love It,17187,"Flo Rida ft.
Robin Thicke",New
I Don't Wanna Go To Bed,17285,Simple Plan ft Nelly,New
I Don't Want To Go On Without You,18017,Nazareth,New
I Dreamed A Dream,17525,Anne Hathaway,New
I Found A Girl,17724,The Vamps ft OMI,New
I Got The Boy,17311,Jana Kramer,New
I Got You (I Feel Good),17181,Daniel Padilla,New
I Hate You I Love You,17934,Gnash ft. Olivia O'brien,New
"I Know What You Did
Last Summer",17466,"Shawn Mendes
& Camila",New
I Love You (Maniwala Ka Sana),18151,Chino Romero,New
